Qty,Reference(s),Value,Item Description,Footprint,MANUFACTURER,MFR#,Digikey Listing,Datasheet,Spec,Sample
2,"C1, C2",14pF,Capacitor,R_0402_1005Metric,,,,,,
5,"C3, C23, C24, C25, C26",4.7uF,Capacitor,C_0603_1608Metric,,CL10A475KQ8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A475KQ8NNNC/3886703,,,
25,"C4, C5, C9, C10, C12, C13, C14, C15, C16, C6, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C40, C41, C42, C43, C44",0.1uF,Capacitor,C_0402_1005Metric,,CL05A104KA5NNNC,,,,
10,"C7, C8, C17, C19, C20, C21, C22, C27, C38, C45",2.2uF,Capacitor,C_0603_1608Metric,,CL10A225KO8NNNC,,,,
1,C11,10uF,Capacitor,C_0603_1608Metric,,CL10A106KQ8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106KQ8NNNC/3886696,,,
2,"C18, C39",100uF,Capacitor,CP_Elec_10x10.5,,MAL215097101E3,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/MAL215097101E3/5635407?s=N4IgTCBcDaILIEEAyYCMBWADATgOys1QFEBmEAXQF8g,https://www.vishay.com/docs/28395/150crz.pdf,,
7,"CR1, CR2, CR3, CR4, CR5, CR6, CR7",TPD4E05U06DQAR,ESD Diode Array,USON-10_2.5x1.0mm_P0.5mm,,TPD4E05U06DQAR,https://www.digikey.com/en/products/detail/texas-instruments/TPD4E05U06DQAR/3996774,,,
3,"D1, D5, D6",LED,Red LED,LED_0603_1608Metric,,LTST-C191KRKT,https://www.digikey.com/en/products/detail/liteon/LTST-C191KRKT/386837,,,
3,"D2, D3, D4",ESD5Z2.5T5G,Single ESD Diode,D_SOD-523,,ESD5Z2.5T5G,https://www.digikey.com/en/products/detail/onsemi/ESD5Z2-5T5G/5404301,https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf,,
4,"FB1, FB2, FB3, FB4",BLM31PG121SH1L,FerriteBead,1206_3216Metric,,BLM31PG121SH1L,https://www.digikey.com/en/products/detail/murata-electronics/BLM31PG121SH1L/2588129,,,https://www.amphenol-cs.com/usb-3-2-gen2-12401610e42a.html
1,J1,12401610E4#2A,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401610E4-2A,,12401610E4#2A,https://www.digikey.com/en/products/detail/amphenol-icc-commercial-products/12401610e4-2a/5775519,,https://www.usb.org/sites/default/files/USB%20Type-C%20Spec%20R2.0%20-%20August%202019.pdf,
2,"J2, J3",483930003,USB3_A,USB3_A_Molex_48393-001,,483930003,https://www.digikey.com/en/products/detail/molex/0483930003/4701504?s=N4IgTCBcDaICwA4DMBOJAGTSQF0C%2BQA,,,https://www.molex.com/molex/products/part-detail/io_connectors/0483930003
1,J4,CON-SOCJ-2155,CON-SOCJ-2155,GRAVITECH_CON-SOCJ-2155,Gravitech,CON-SOCJ-2155,https://www.mouser.com/ProductDetail/Gravitech/CON-SOCJ-2155?qs=fkzBJ5HM%252BdCcpvFQyQZHtA%3D%3D,,,
1,R1,50kΩ,Resistor,R_0402_1005Metric,,,https://www.digikey.com/en/products/detail/yageo/RT1206BRD0750KL/5936960,,,
1,R2,100kΩ,Resistor,R_0402_1005Metric,,,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526,,,
1,R3,35.7kΩ,Resistor,R_0402_1005Metric,,,https://www.digikey.com/en/products/detail/yageo/RT1206BRD0750KL/5936960,,,
11,"R4, R5, R7, R8, R9, R10, R11, R12, R17, R19, R22",10kΩ,Resistor,R_0402_1005Metric,,RC0402JR-0710KL,https://www.digikey.com/en/products/detail/yageo/RC0402JR-0710KL/726418,,,
3,"R6, R13, R14",5.1kΩ,Resistor,R_0402_1005Metric,,,https://www.digikey.com/en/products/detail/yageo/RT1206BRD0750KL/5936960,,,
1,R15,200kΩ,Resistor,R_0402_1005Metric,,RC0402JR-07200KL,https://www.digikey.com/en/products/detail/yageo/RC0402JR-07200KL/726440,,,
1,R16,12kΩ 1%,Resistor,R_0402_1005Metric,,RC0402FR-0712KL,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0712KL/726532,,,
1,R18,330Ω,Resistor,R_0402_1005Metric,,WR04X331 JTL,https://www.digikey.com/en/products/detail/walsin-technology-corporation/WR04X331-JTL/13240790,,,
3,"R20, R21, R23",470Ω,Resistor,R_0402_1005Metric,,WR04X4700FTL,https://www.digikey.com/en/products/detail/walsin-technology-corporation/WR04X4700FTL/13238725,,,
